年月日,時刻,日経平均株価
2019/12/18,4:00:00,24066.12
2019/12/19,12:04:45,23862.67
2019/12/19,13:00:01,23862.88
2019/12/19,14:00:01,23864.31
2019/12/19,15:00:03,23873.32
2019/12/19,16:00:06,23864.85
2019/12/20,10:00:00,23809.97
2019/12/20,11:00:00,23822.46
2019/12/20,12:00:04,23804.93
2019/12/20,13:00:02,23878.95
2019/12/20,14:00:00,23853.04
2019/12/20,15:00:03,23850.65
2019/12/20,16:00:06,23816.63
2019/12/23,9:30:01,23855.85
2019/12/23,10:30:00,23852.83
2019/12/23,11:30:00,23859.93
2019/12/23,12:30:00,23858.86
2019/12/23,13:30:01,23841.16
2019/12/23,14:30:00,23820.44
2019/12/24,9:30:02,23816.54
2019/12/24,10:30:00,23811.74
2019/12/24,11:30:03,23817.26
2019/12/24,12:30:02,23808.55
2019/12/24,13:30:02,23814.61
2019/12/24,14:30:04,23823.41
2019/12/25,9:30:01,23806
2019/12/25,10:30:00,23802.43
2019/12/25,11:30:00,23805.51
2019/12/25,12:30:00,23806.72
2019/12/25,13:30:01,23789.81
2019/12/25,14:30:01,23802.83
2019/12/26,9:30:01,23902.14
2019/12/26,10:30:04,23891.88
2019/12/26,11:30:01,23884.24
2019/12/26,12:30:01,23885.81
2019/12/26,13:30:06,23883.6
2019/12/26,14:30:03,23898.64
2019/12/27,9:30:02,23907.01
2019/12/27,10:30:01,23911.31
2019/12/27,11:30:07,23918.91
2019/12/27,12:30:53,23921.97
2019/12/27,12:35:44,23929.51
2019/12/27,13:30:06,23918.74
2019/12/27,14:30:05,23874.2
2020/1/3,12:16:49,23656.62
2020/1/6,9:30:06,23231.72
2020/1/6,10:30:06,23222.7
2020/1/6,11:30:04,23163.99
2020/1/6,12:30:03,23173.35
2020/1/6,13:30:01,23235.85
2020/1/6,14:30:00,23193.88
2020/1/6,15:48:24,23204.86
2020/1/7,9:30:01,23345.23
2020/1/7,10:30:00,23447.93
2020/1/7,11:30:00,23557.52
2020/1/7,12:30:00,23552.97
2020/1/7,13:30:01,23532.34
2020/1/7,14:30:09,23562.57
2020/1/8,9:30:01,23028.34
2020/1/8,10:30:00,23011.83
2020/1/8,11:30:00,23126.01
2020/1/8,12:30:00,23114.64
2020/1/8,13:30:00,23282.56
2020/1/8,14:30:01,23237.01
2020/1/9,9:30:01,23568.11
2020/1/9,10:30:00,23627.98
2020/1/9,11:30:00,23657.61
2020/1/9,12:30:01,23677.81
2020/1/10,9:30:12,23866.1
2020/1/10,10:30:06,23799.1
2020/1/10,11:30:08,23780.58
2020/1/10,12:30:08,23776.09
2020/1/10,13:30:06,23797.65
2020/1/10,14:30:04,23820.29
2020/1/11,15:53:53,23850.57
2020/1/13,9:05:06,23850.57
2020/1/14,9:05:03,24007.14
2020/1/14,9:10:02,24022.68
2020/1/14,9:15:02,24042.01
2020/1/14,9:20:02,24025.29
2020/1/14,9:25:02,24033.3
2020/1/14,9:30:02,24046.91
2020/1/14,9:35:02,24037.83
2020/1/14,9:40:02,24028.74
2020/1/14,9:45:02,24018.92
2020/1/14,9:50:02,24006.36
2020/1/14,9:55:02,24033.06
2020/1/14,10:00:02,24039.74
2020/1/14,10:05:02,24025.17
2020/1/14,10:10:02,24006.27
2020/1/14,10:15:02,24034.33
2020/1/14,10:20:03,24036.43
2020/1/14,10:25:02,24028.49
2020/1/14,10:30:02,24024.54
2020/1/14,10:35:02,24016.7
2020/1/14,10:40:02,24021.5
2020/1/14,10:45:02,24036.01
2020/1/14,10:50:02,24033.11
2020/1/14,10:55:02,24026.89
2020/1/14,11:00:02,24027.29
2020/1/14,11:05:02,24035.24
2020/1/14,11:10:02,24023.85
2020/1/14,11:15:02,24014.1
2020/1/14,11:20:02,24026.27
2020/1/14,11:25:02,24024.24
2020/1/14,11:30:02,24024.06
2020/1/14,11:35:02,24026.81
2020/1/14,12:35:02,23976.13
2020/1/14,12:40:02,23978.8
2020/1/14,12:45:03,23980.41
2020/1/14,12:50:02,23969.08
2020/1/14,12:55:02,23973.94
2020/1/14,13:00:02,23970.75
2020/1/14,13:05:02,23965.39
2020/1/14,13:10:03,23980.66
2020/1/14,13:15:05,23992.14
2020/1/14,13:20:02,23994.94
2020/1/14,13:25:03,23999.03
2020/1/14,13:30:02,23996.04
2020/1/14,13:35:02,23990.2
2020/1/14,13:40:02,23995.83
2020/1/14,13:45:02,24003.34
2020/1/14,13:50:02,24008.26
2020/1/14,13:55:02,24006.22
2020/1/14,14:00:02,24002.79
2020/1/14,14:05:02,24002.36
2020/1/14,14:10:02,24005.62
2020/1/14,14:15:02,24013.65
2020/1/14,14:20:02,24014.06
2020/1/14,14:25:02,24023.28
2020/1/14,14:30:02,24021.95
2020/1/14,14:35:02,24023.13
2020/1/14,14:40:02,24013.75
2020/1/14,14:45:02,24012.45
2020/1/14,14:50:02,24018
2020/1/14,14:55:02,24007.14
2020/1/14,15:00:04,24003.41
2020/1/14,15:05:02,24025.17
2020/1/15,9:05:07,23938.04
2020/1/15,9:10:02,23942.25
2020/1/15,9:15:02,23958.64
2020/1/15,9:20:02,23963.1
2020/1/15,9:25:02,23982.22
2020/1/15,9:30:02,23995.82
2020/1/15,9:35:02,23976.45
2020/1/15,9:40:02,23967.22
2020/1/15,9:45:02,23969.15
2020/1/15,9:50:02,23955.82
2020/1/15,9:55:02,23949.33
2020/1/15,10:00:02,23934.85
2020/1/15,10:05:02,23954.41
2020/1/15,10:10:02,23961.81
2020/1/15,10:15:02,23962.87
2020/1/15,10:20:02,23956.81
2020/1/15,10:25:02,23972.21
2020/1/15,10:30:02,23971.59
2020/1/15,10:35:02,23968.28
2020/1/15,10:40:02,23982.87
2020/1/15,10:45:02,23974
2020/1/15,10:50:02,23963.23
2020/1/15,10:55:02,23955.44
2020/1/15,11:00:02,23956.78
2020/1/15,11:05:13,23944.06
2020/1/15,11:10:04,23941.14
2020/1/15,11:15:04,23951.66
2020/1/15,11:20:02,23933.74
2020/1/15,11:25:02,23923.43
2020/1/15,11:30:02,23920.91
2020/1/15,11:35:02,23914.88
2020/1/15,12:35:02,23910.32
2020/1/15,12:40:02,23922.33
2020/1/15,12:45:02,23925.34
2020/1/15,12:50:02,23918.66
2020/1/15,12:55:02,23914.35
2020/1/15,13:00:02,23913.4
2020/1/15,13:05:02,23905.4
2020/1/15,13:10:02,23906.28
2020/1/15,13:16:06,23902.99
2020/1/15,13:20:59,23894.18
2020/1/15,13:25:02,23895.83
2020/1/15,13:30:06,23884.04
2020/1/15,13:35:04,23885.1
2020/1/15,13:40:04,23892.53
2020/1/15,13:45:02,23893.82
2020/1/15,13:50:02,23887.43
2020/1/15,13:55:02,23891.54
2020/1/15,14:00:02,23904.47
2020/1/15,14:05:05,23886.33
2020/1/15,14:10:05,23890.64
2020/1/15,14:15:04,23896.31
2020/1/15,14:20:05,23893.7
2020/1/15,14:25:05,23895.87
2020/1/15,14:30:02,23892.58
2020/1/15,14:35:04,23904.49
2020/1/15,14:40:02,23907.06
2020/1/15,14:45:02,23910.05
2020/1/15,14:50:05,23902.65
2020/1/15,14:55:04,23905.48
2020/1/15,15:00:04,23910.52
