,日付,始値,高値,安値,終値,売買高,修正後終値
0,12/17（火）,7840,7844,7783,7818,4160500,7818.0
1,12/16（月）,7780,7806,7761,7785,3397600,7785.0
2,12/13（金）,7778,7819,7757,7811,7190200,7811.0
3,12/12（木）,7657,7683,7626,7628,3608000,7628.0
4,12/11（水）,7651,7695,7646,7663,3768100,7663.0
5,12/10（火）,7702,7711,7650,7650,4393500,7650.0
6,12/9（月）,7741,7748,7675,7730,3945400,7730.0
7,12/6（金）,7800,7800,7702,7727,3386800,7727.0
8,12/5（木）,7804,7810,7741,7769,3864200,7769.0
9,12/4（水）,7719,7785,7692,7783,4923600,7783.0
10,12/3（火）,7663,7733,7644,7718,3670500,7718.0
11,12/2（月）,7701,7761,7682,7738,3913300,7738.0
12,11/29（金）,7740,7740,7638,7638,3762600,7638.0
13,11/28（木）,7740,7757,7688,7724,3226900,7724.0
14,11/27（水）,7706,7728,7685,7690,2744100,7690.0
15,11/26（火）,7788,7820,7707,7708,4567100,7708.0
16,11/25（月）,7794,7795,7715,7729,2625600,7729.0
17,11/22（金）,7728,7783,7723,7753,3514400,7753.0
18,11/21（木）,7696,7742,7590,7716,5193600,7716.0
19,11/20（水）,7684,7710,7647,7688,4518800,7688.0
20,11/19（火）,7804,7809,7733,7754,4246900,7754.0
21,11/18（月）,7834,7845,7794,7836,2883400,7836.0
22,11/15（金）,7776,7841,7772,7826,3891600,7826.0
23,11/14（木）,7888,7888,7775,7795,4225100,7795.0
24,11/13（水）,7935,7943,7871,7889,4242500,7889.0

